name,operator,output,source,method,wikidata_id,latitude,longitude
"DeCew II Generating Station","Ontario Power Generation","144 MW","hydro","run-of-the-river",,,
"Dokie Ridge Wind Farm",,"144 MW","wind",,Q5288739,,
"ENMAX Crossfield Energy Centre","Enmax","144 MW","gas","combustion",,,
"Quality Wind Project","Capital Power","142 MW","wind",,,,
"Harmon","Ontario Power Generation and Moose Cree First Nation","141 MW","hydro","run-of-the-river",,,
"Parc éolien Le Plateau","Invenergy Wind Canada LLC","139 MW","wind","wind_turbine",,,
"St. Joseph Wind Farm",,"138 MW","wind","wind_turbine",,,
"Parc éolien Des Moulins","Invenergy Wind Canada","136 MW","wind",,,,
"Yellowhead Power Plant","SaskPower","135 MW","gas","combustion",,,
"Parc éolien de Saint-Ulric, Saint-Léandre (Jardin d'Eole)","Northland Power","133 MW","wind",,,,
"Centrale La Gabelle","Hydro-Québec","131 MW","hydro","run-of-the-river",Q2944479,,
"Centrale de la Première-Chute","Hydro-Québec","130 MW","hydro",,Q2944501,,
"Garden Plain Wind Project","Pattern Energy","130 MW","wind",,,,
"Rattlesnake Ridge Wind Farm","Berkshire Hathaway Energy","130 MW","wind",,,,
"Deer Lake Hydro Plant","Kruger Energy","129 MW","hydro","water-storage",Q65211702,,
"Great Falls Generating Station","Manitoba Hydro","129 MW","hydro","run-of-the-river",Q5599160,,
"Jenpeg Generating Station","Manitoba Hydro","129 MW","hydro","run-of-the-river",Q19376202,,
"Cat Arm Generating Station","Newfoundland and Labrador Hydro","127 MW","hydro","water-storage",,,
"Selkirk Generating Station","Manitoba Hydro","125 MW","gas","combustion",,,
"Wheatland Wind Project","Wheatland Wind Project Ltd.","122 MW","wind",,,,
"Centrale des Cèdres","Hydro-Québec","122 MW","hydro","run-of-the-river",Q2944510,,
"Summerview 1 & 2 Wind Farm","TransAlta Renewables","122 MW","wind",,,,
"Balzac Power Station","Nexen","120 MW","gas","combustion",,,
"Bighorn Hydro Plant","TransAlta","120 MW","hydro","water-storage",,,
"Burnside Combustion Turbine Power Plant","Nova Scotia Power","120 MW","oil","combustion",,,
"Cavalier Energy Centre","Enmax","120 MW","gas","combustion",,,
"Cold Lake Project Mahkeses Power Station",,"120 MW","oil","combustion",,,
"McMahon Cogeneration Plant","NorthRiver Midstream;Heartland Generation","120 MW","gas","combustion",Q14874686,,
"Dow Chemical Fort Saskatchewan Alberta Power Plant",,"118 MW","gas","combustion",,,
"Sterling Wind Project",,"113 MW","wind",,,,
"Beechwood Generating Station","NB Power","112 MW","hydro",,,,
"[unnamed]","TransAlta","112 MW","hydro","water-storage",,,
"Island Falls Hydroelectric Station",,"111 MW","hydro","water-storage",Q14874962,,
"Kingston Generating Station","Northland Power","110 MW","gas","combustion",,,
"Parc éolien Baie-des-Sables","Innergex","110 MW","wind",,Q3588993,,
"Centrale des Rapides-des-Quinze","Hydro Quebec","109 MW","hydro","run-of-the-river",,,
"Parc éolien de Carleton","Innergex","109 MW","wind",,,,
"Castle Rock Ridge 1 & 2 Wind Farm","Castle Rock Ridge Limited","106 MW","wind",,,,
"Ruskin Dam","BC Hydro","106 MW","hydro","water-storage",Q7380953,,
"Algoma Salut Ste. Marie",,"105 MW","gas",,,,
"Centrale Masson",,"105 MW","hydro",,,,
"Centrale de Grand-Mère",,"105 MW","hydro","water-storage",Q2944474,,
"Grande Prairie Generating Station","Constellation Energy Corporation","105 MW","gas","combustion",,,
"Riverview Wind Farm","Enel Green Power Canada","105 MW","wind",,,,
